finalfoil mod1
 0.96706    -0.00151
 0.97175    -0.00127
 0.97610    -0.00105
 0.98010    -0.00086
 0.98375    -0.00069
 0.98705    -0.00054
 0.98999    -0.00041
 0.99256    -0.00030
 0.99477    -0.00020
 0.99660    -0.00013
 0.99805    -0.00007
 0.99911    -0.00003
 0.99977    -0.00001
 1.00000     0.00000
